SF,New,Client1,Client2,Client3
Account,accounts,TRUE,TRUE,TRUE
Acknowledgement__c,acknowledgements,FALSE,FALSE,TRUE
Acknowledgement_Batch__c,acknowledgement_batches,FALSE,FALSE,TRUE
npsp__Address__c,addresses,FALSE,TRUE,TRUE
Affiliation,affiliations,FALSE,TRUE,FALSE
npe5__Affiliation__c,affiliations,TRUE,FALSE,TRUE
npsp__Allocation__c,allocations,FALSE,TRUE,TRUE
npsp__Batch__c,batches,FALSE,TRUE,TRUE
CampaignMember,campaign_members,FALSE,TRUE,TRUE
Campaign,campaigns,TRUE,TRUE,TRUE
Contact,contacts,TRUE,TRUE,TRUE
ContentDocumentLink,content_document_link,FALSE,TRUE,TRUE
ContentVersion,content_version,FALSE,TRUE,TRUE
EntitySubscription,entity_subscriptions,FALSE,FALSE,TRUE
EmailMessage,email_messages,TRUE,TRUE,TRUE
EventRelation,event_relations,FALSE,FALSE,TRUE
Event,events,TRUE,TRUE,TRUE
FeedPost,feed_posts,FALSE,FALSE,TRUE
FeedComment,feed_comments,FALSE,FALSE,TRUE
Fund__c,funds,FALSE,FALSE,TRUE
GroupSubscription,group_subscriptions,FALSE,FALSE,TRUE
Lead,leads,TRUE,TRUE,TRUE
Membership__c,memberships,FALSE,FALSE,TRUE
npe01__OppPayment__c,op_payments,TRUE,TRUE,TRUE
Opportunity,opportunities,TRUE,TRUE,TRUE
OpportunityContactRole,opportunity_contact_role,FALSE,FALSE,TRUE
Opportunity_Products__c,opportunity_products,FALSE,FALSE,TRUE
OpportunityLineItem,opportunity_pricebook_link,FALSE,FALSE,TRUE
OpportunityHistory,opportunity_history,FALSE,FALSE,TRUE
npsp__Partial_Soft_Credit__c,partial_soft_credits,FALSE,TRUE,TRUE
Pricebook2,pricebook,FALSE,FALSE,TRUE
PricebookEntry,pricebook_secondary_products_link,FALSE,FALSE,TRUE
Product__c,products,FALSE,FALSE,TRUE
Product2,secondary_products,FALSE,TRUE,TRUE
npsp__General_Accounting_Unit__c,projects,TRUE,TRUE,TRUE
Receipt__c,receipts,FALSE,FALSE,TRUE
Receipt_Batch__c,receipt_batches,FALSE,FALSE,TRUE
RecordType,record_types,FALSE,TRUE,TRUE
npe03__Recurring_Donation__c,recurring_gifts,FALSE,TRUE,TRUE
npe4__Relationship__c,relationships,FALSE,TRUE,TRUE
Sensitive_Data__c,sensitive_data,FALSE,FALSE,TRUE
Station_Finance__c,station_finance,FALSE,FALSE,TRUE
Stations__c,stations,FALSE,FALSE,TRUE
npsp__Account_Soft_Credit__c,soft_credit_accounts,FALSE,TRUE,FALSE
Task,tasks,TRUE,TRUE,TRUE
TaskRelation,task_relations,FALSE,FALSE,TRUE
User,users,FALSE,FALSE,TRUE
UserRole,user_roles,FALSE,FALSE,TRUE
